Y;X;Bed
-7.561067216;111.112564266;589.4
-7.560672917;111.117171342;653.5
-7.559855794;111.123300058;656.8
-7.560172776;111.136950316;780.1
-7.559749226;111.152925297;757.5
-7.560459642;111.172866239;1013.8
-7.560105970;111.185923276;1031.4
-7.560057449;111.196101358;1059.7
-7.559359043;111.198662064;1016.5
-7.559159923;111.205347244;1015.2
-7.558184954;111.212068041;968.2
-7.558335925;111.218108685;976.3
-7.558300395;111.220035075;973.0
-7.557848051;111.228493902;737.7
-7.557597958;111.238576211;600.3
-7.557489801;111.248336576;466.0
-7.557577138;111.256735718;466.0
-7.557511607;111.263604730;404.2
-7.557838706;111.269788966;367.0
-7.558195492;111.277270998;337.3
-7.558542213;111.281826059;315.0
-7.558885956;111.285076156;303.7
-7.559220933;111.287680188;292.0
-7.560542786;111.292215801;282.9
-7.562492671;111.295442027;268.0
-7.564757932;111.295383880;274.4
-7.566386614;111.295332507;278.0
-7.569638624;111.293590784;327.7
-7.571916083;111.291221602;352.0
-7.572865481;111.289246575;358.7
-7.573497170;111.287603537;363.0
-7.573886442;111.283934923;433.8
-7.574276255;111.278640962;480.1
-7.574234264;111.275084337;488.0
-7.574258313;111.271480331;501.1
-7.574261279;111.270174650;535.6
-7.574276895;111.267560342;562.0
-7.574058821;111.263804157;505.2
-7.574068331;111.260218843;514.3
-7.573873985;111.253980412;620.3
-7.573867321;111.251715852;660.4
-7.573870537;111.249771161;658.7
-7.573802073;111.243658508;684.5
-7.573742706;111.238517296;675.5
-7.574010413;111.235180412;830.9
-7.573969853;111.228764928;838.0
-7.574440773;111.219340879;1108.7
-7.574898028;111.212877976;1368.7
-7.574873238;111.209714977;1363.8
-7.574864606;111.205285897;1401.1
-7.575025877;111.201478845;1471.2
-7.574799900;111.196132647;1429.5
-7.574954518;111.194236608;1486.5
-7.575691784;111.190450903;1573.8
-7.575899258;111.187301960;1568.9
-7.575729565;111.183837760;1486.2
-7.575648895;111.181945668;1508.7
-7.575918270;111.175602638;1370.9
-7.575919106;111.172711821;1280.0
-7.576337311;111.166983726;1222.2
-7.575784516;111.162421347;1049.0
-7.576497884;111.158326248;1115.4
-7.576719115;111.156081185;1080.6
-7.576972781;111.154790428;1071.0
-7.577221589;111.152550585;1024.4
-7.577561947;111.150345738;1080.7
-7.577809955;111.148734959;1061.6
-7.578721411;111.146496730;1075.1
-7.578833374;111.142929868;1001.8
-7.578848410;111.139618701;893.9
-7.579202334;111.136789634;932.3
-7.580146450;111.132355027;970.2
-7.580517642;111.126827022;892.9
-7.581100651;111.123314532;910.2
-7.581514407;111.119369185;833.3
-7.581939613;111.115418401;784.1
-7.582172838;111.113139158;771.1
-7.582416816;111.111181941;750.5
-7.582677696;111.109870466;716.8
-7.583335421;111.108299712;745.6
-7.585509303;111.105069209;744.9
-7.586390623;111.103098467;718.4
-7.588942335;111.101177108;748.1
-7.590442118;111.100118990;719.2
-7.594200394;111.098110767;732.0
-7.596443194;111.097780063;736.0
-7.598289187;111.097365554;706.7
-7.599276195;111.098327694;719.4
-7.602660258;111.104466720;771.0
-7.603056814;111.107370088;785.5
-7.606145667;111.115092229;839.7
-7.608254260;111.120594257;915.8
-7.610488079;111.127764644;1038.8
-7.611217363;111.131596061;1055.9
-7.611308777;111.134801216;1080.0
-7.611724321;111.142306840;1255.5
-7.611548079;111.151031923;1454.4
-7.611592583;111.155590076;1637.5
-7.611768824;111.158163110;1710.2
-7.611469170;111.163588932;1842.8
-7.611835350;111.168674262;2018.6
-7.611329458;111.177825902;2362.5
-7.611206558;111.186221463;2743.5
-7.611205951;111.190806581;2683.3
-7.611670817;111.198732642;2917.6
-7.610793548;111.204294764;2699.8
-7.610658886;111.206782713;2580.8
-7.610320438;111.212747301;2317.2
-7.609811191;111.221044878;1911.5
-7.609582710;111.224921442;1735.2
-7.609445171;111.227198548;1625.8
-7.609427069;111.230059207;1570.5
-7.609110355;111.235007948;1389.5
-7.609000393;111.238911732;1232.0
-7.608900176;111.241542666;1163.6
-7.608842045;111.244797325;1083.0
-7.608668338;111.253324806;861.1
-7.608521033;111.263203442;698.5
-7.608526531;111.270378805;627.2
-7.608519413;111.274314186;576.7
-7.608516335;111.280550818;515.4
-7.608908334;111.285715094;500.3
-7.609890348;111.287311350;493.8
-7.611190701;111.289892001;470.7
-7.613097215;111.291519461;459.6
-7.616011416;111.292729334;471.3
-7.617922940;111.293031862;461.3
-7.619204379;111.293333058;461.4
-7.621123525;111.293292788;464.0
-7.625265685;111.291904814;483.3
-7.626820700;111.288960834;492.8
-7.628075885;111.285326605;514.5
-7.629283699;111.278796386;571.0
-7.630222206;111.269569519;678.3
-7.630178868;111.261753188;766.0
-7.630148114;111.259175227;787.8
-7.630194906;111.252590434;880.8
-7.630184225;111.250001097;933.4
-7.630273367;111.246660064;1060.2
-7.630269616;111.243752853;1127.5
-7.630277403;111.241484098;1150.6
-7.630399512;111.236226910;1353.9
-7.630791378;111.233912785;1442.1
-7.631208122;111.228722952;1616.2
-7.632022473;111.223507664;1832.9
-7.632495891;111.218996316;2027.6
-7.632604985;111.215183503;2226.5
-7.632719889;111.213260531;2320.9
-7.632814813;111.210115687;2471.6
-7.633034871;111.204798259;2720.9
-7.633152860;111.200173728;2915.4
-7.633537242;111.195888741;3062.1
-7.633656426;111.191632189;2921.6
-7.634230629;111.187667379;2990.3
-7.634491147;111.181220395;2766.7
-7.634074391;111.176532769;2477.6
-7.633672628;111.170249912;2195.0
-7.633481291;111.166162525;2113.8
-7.633378229;111.164261360;2049.3
-7.633163533;111.160437249;1913.9
-7.633271200;111.156286280;1779.7
-7.633376610;111.151492406;1708.2
-7.633217937;111.147960620;1584.9
-7.633048739;111.145331457;1497.8
-7.632958830;111.143078229;1433.4
-7.632802706;111.139511007;1359.1
-7.632688746;111.137531656;1289.9
-7.632396375;111.131299948;1123.2
-7.632218645;111.126417780;1035.6
-7.632131642;111.124749684;984.8
-7.631931111;111.118876408;901.9
-7.632417725;111.113988446;840.2
-7.632635828;111.110411647;811.2
-7.633517748;111.107487892;804.6
-7.635025810;111.103608093;789.0
-7.635614974;111.101349004;779.4
-7.637714328;111.097054984;745.4
-7.639245610;111.094141131;737.9
-7.641127377;111.091598210;745.1
-7.642402080;111.090983580;775.8
-7.644945955;111.090958988;809.1
-7.647741127;111.090739255;737.5
-7.650280234;111.090996072;746.5
-7.652843698;111.092833771;691.8
-7.653177822;111.093485982;694.1
-7.655482874;111.097339164;727.8
-7.656817283;111.100545407;716.3
-7.657161010;111.101833060;731.6
-7.657550356;111.105379465;755.4
-7.658228442;111.107321565;769.5
-7.659014618;111.113833762;860.7
-7.659393678;111.116734050;850.1
-7.659505710;111.121606102;912.6
-7.659635506;111.127727064;971.6
-7.659835809;111.134620163;1101.4
-7.659314166;111.139749130;1177.8
-7.657973567;111.149090299;1282.7
-7.656984251;111.159033064;1417.8
-7.656640401;111.167056521;1688.4
-7.656895025;111.175275397;1868.7
-7.656988479;111.179651435;1906.1
-7.657223227;111.189323953;2024.5
-7.657420800;111.199896104;2037.7
-7.657515874;111.209273437;1906.7
-7.657539943;111.220702902;1605.0
-7.657600767;111.228023699;1468.8
-7.657582635;111.234545444;1265.7
-7.657639484;111.241313407;1114.6
-7.657664593;111.248519565;956.5
-7.658344566;111.254378320;821.3
-7.658687841;111.257311523;816.7
-7.659080355;111.264823727;713.6
-7.659098925;111.266455494;696.2
-7.659120369;111.268418669;665.7
-7.658844214;111.271680255;641.0
-7.658570591;111.274594792;625.9
-7.658595628;111.276209997;621.9
-7.658619072;111.277831448;615.1
-7.659000613;111.282035408;600.7
-7.660302013;111.285342548;553.7
-7.660668774;111.288934310;519.3
-7.661033489;111.291498505;518.4
-7.662340931;111.293764310;494.5
-7.662349292;111.294422798;496.8
-7.664593775;111.295379459;488.7
-7.667474943;111.295624068;495.8
-7.671944853;111.295505795;504.8
-7.673854262;111.295129398;527.2
-7.675736486;111.293119235;541.3
-7.677912197;111.289840991;559.2
-7.679751715;111.285591439;580.0
-7.680042741;111.283953208;593.5
-7.679982765;111.280351886;599.5
-7.679916715;111.276451628;629.2
-7.679820388;111.270524736;725.5
-7.679727974;111.264994434;787.0
-7.679608244;111.257868400;839.7
-7.679185815;111.251793648;826.2
-7.678770297;111.245615384;928.9
-7.678713127;111.242046399;998.0
-7.678349464;111.239162005;1024.0
-7.678311063;111.236925943;1022.5
-7.678257847;111.233719149;1051.9
-7.678194129;111.229499707;1168.3
-7.678130845;111.225302254;1255.2
-7.678045285;111.220214841;1280.4
-7.677962933;111.215465365;1306.8
-7.677581320;111.211344493;1293.6
-7.676892284;111.208221595;1296.0
-7.676239523;111.206317087;1308.6
-7.676191916;111.203468897;1363.5
-7.676150419;111.199969207;1519.6
-7.676115166;111.196486979;1780.6
-7.676051265;111.192099076;1790.5
-7.675986478;111.187729502;1874.0
-7.675911467;111.183059868;1928.1
-7.675808792;111.178043388;1826.4
-7.673513565;111.172096120;1710.9
-7.673456724;111.168960984;1705.1
-7.674033392;111.167037869;1647.5
-7.674017720;111.166397016;1629.2
-7.674616977;111.164540513;1653.5
-7.674862755;111.160202831;1784.7
-7.674763160;111.155432877;1654.9
-7.674569186;111.147848124;1274.0
-7.674434360;111.140820011;1208.3
-7.674327635;111.136191616;1070.6
-7.674885708;111.132336999;1057.0
-7.675116953;111.127834147;1016.4
-7.676017041;111.125275196;1015.0
-7.676904803;111.122304571;950.6
-7.679046267;111.118249092;1052.8
-7.680556929;111.114585825;954.4
-7.681146220;111.112179510;863.9
-7.682636657;111.107025936;828.6
-7.684752744;111.101116117;799.0
-7.686869562;111.095722190;826.8
-7.688426459;111.093638758;762.2
-7.691308340;111.094811502;718.6
-7.694824913;111.097082202;781.6
-7.696763176;111.099313894;800.6
-7.697107004;111.101270671;827.0
-7.697814826;111.107862133;946.1
-7.699248542;111.116715554;887.6
-7.700928185;111.126840702;1096.6
-7.701351446;111.136540678;1196.2
-7.701505450;111.147720675;1350.6
-7.701605452;111.156668508;1496.8
